fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
False,True,10,0.005,90,500,0.99,3,2,7,2,100,0,4.85089,0.00800994,0.00166667,4.83298,0.00801274,0.0
False,True,10,0.005,90,500,0.99,3,2,7,2,100,10,4.83271,0.00800075,0.00411111,4.82717,0.00800075,0.0333333
False,True,10,0.005,90,500,0.99,3,2,7,2,100,20,4.82201,0.00800028,0.0202222,4.82708,0.00800027,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,30,4.82962,0.00800023,0.00333333,4.82776,0.00800011,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,40,4.82738,0.00800025,0.00811111,4.8279,0.00800006,0.0
False,True,10,0.005,90,500,0.99,3,2,7,2,100,50,4.82896,0.00800021,0.00366667,4.82801,0.00800003,0.0222222
False,True,10,0.005,90,500,0.99,3,2,7,2,100,60,4.82809,0.00800022,0.00455556,4.82786,0.00800002,0.0
False,True,10,0.005,90,500,0.99,3,2,7,2,100,70,4.82901,0.00800012,0.00344444,4.82814,0.00800002,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,80,4.82868,0.00800003,0.00411111,4.82805,0.00800001,0.0222222
False,True,10,0.005,90,500,0.99,3,2,7,2,100,90,4.82842,0.00800003,0.00455556,4.82824,0.00800001,0.0
False,True,10,0.005,90,500,0.99,3,2,7,2,100,100,4.82862,0.00799996,0.00444444,4.82809,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,110,4.82862,0.00800003,0.00322222,4.8283,0.00800001,0.0
False,True,10,0.005,90,500,0.99,3,2,7,2,100,120,4.82855,0.00799996,0.00522222,4.82824,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,130,4.82859,0.00799984,0.00466667,4.82815,0.00800001,0.0333333
False,True,10,0.005,90,500,0.99,3,2,7,2,100,140,4.82862,0.00799988,0.00533333,4.82799,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,150,4.82857,0.0079999,0.00644444,4.82812,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,160,4.82865,0.00799993,0.00344444,4.82816,0.008,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,170,4.82847,0.00799992,0.00544444,4.82833,0.008,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,180,4.82862,0.00799998,0.005,4.82815,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,190,4.8286,0.00799986,0.00444444,4.82817,0.008,0.0222222
False,True,10,0.005,90,500,0.99,3,2,7,2,100,200,4.82867,0.00799997,0.004,4.82817,0.008,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,210,4.8286,0.008,0.00588889,4.82811,0.008,0.0
False,True,10,0.005,90,500,0.99,3,2,7,2,100,220,4.82856,0.00799987,0.00488889,4.82835,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,230,4.82865,0.00799988,0.00522222,4.82835,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,240,4.82845,0.00799988,0.00744444,4.82826,0.00800001,0.0111111
False,True,10,0.005,90,500,0.99,3,2,7,2,100,250,4.82864,0.00799997,0.00544444,4.82821,0.008,0.0
False,True,10,0.005,90,500,0.99,3,2,7,2,100,260,4.82858,0.00799984,0.00544444,4.82803,0.008,0.0111111
